1024
463, 527, 494, 496
32, 1, 159
33, 0, 2, 688
34, 1, 3, 795
35, 2, 4, 204
36, 3, 5, 496
37, 4, 6, 916
38, 5, 7, 144
39, 6, 8, 427
40, 7, 9, 192
41, 8, 10, 225
42, 9, 11, 550
43, 10, 12, 776
44, 11, 13, 452
45, 12, 14, 394
46, 13, 15, 699
47, 14, 16, 184
48, 15, 17, 447
49, 16, 18, 307
50, 17, 19, 806
51, 18, 20, 560
52, 19, 21, 623
53, 20, 22, 291
54, 21, 23, 44
55, 22, 24, 926
56, 23, 25, 23
57, 24, 26, 343
58, 25, 27, 46
59, 26, 28, 161
60, 27, 29, 93
61, 28, 30, 977
62, 29, 31, 323
63, 30, 240
0, 64, 33, 861
1, 65, 32, 34, 805
2, 66, 33, 35, 520
3, 67, 34, 36, 59
4, 68, 35, 37, 620
5, 69, 36, 38, 911
6, 70, 37, 39, 214
7, 71, 38, 40, 550
8, 72, 39, 41, 860
9, 73, 40, 42, 436
10, 74, 41, 43, 224
11, 75, 42, 44, 645
12, 76, 43, 45, 899
13, 77, 44, 46, 704
14, 78, 45, 47, 899
15, 79, 46, 48, 1006
16, 80, 47, 49, 29
17, 81, 48, 50, 702
18, 82, 49, 51, 221
19, 83, 50, 52, 641
20, 84, 51, 53, 763
21, 85, 52, 54, 491
22, 86, 53, 55, 211
23, 87, 54, 56, 382
24, 88, 55, 57, 537
25, 89, 56, 58, 997
26, 90, 57, 59, 731
27, 91, 58, 60, 868
28, 92, 59, 61, 39
29, 93, 60, 62, 148
30, 94, 61, 63, 485
31, 95, 62, 356
32, 96, 65, 95
33, 97, 64, 66, 518
34, 98, 65, 67, 412
35, 99, 66, 68, 918
36, 100, 67, 69, 267
37, 101, 68, 70, 589
38, 102, 69, 71, 929
39, 103, 70, 72, 437
40, 104, 71, 73, 362
41, 105, 72, 74, 126
42, 106, 73, 75, 502
43, 107, 74, 76, 860
44, 108, 75, 77, 886
45, 109, 76, 78, 829
46, 110, 77, 79, 105
47, 111, 78, 80, 159
48, 112, 79, 81, 412
49, 113, 80, 82, 792
50, 114, 81, 83, 238
51, 115, 82, 84, 161
52, 116, 83, 85, 538
53, 117, 84, 86, 247
54, 118, 85, 87, 382
55, 119, 86, 88, 75
56, 120, 87, 89, 814
57, 121, 88, 90, 136
58, 122, 89, 91, 866
59, 123, 90, 92, 188
60, 124, 91, 93, 402
61, 125, 92, 94, 497
62, 126, 93, 95, 816
63, 127, 94, 412
64, 128, 97, 206
65, 129, 96, 98, 594
66, 130, 97, 99, 616
67, 131, 98, 100, 758
68, 132, 99, 101, 582
69, 133, 100, 102, 752
70, 134, 101, 103, 868
71, 135, 102, 104, 879
72, 136, 103, 105, 925
73, 137, 104, 106, 513
74, 138, 105, 107, 104
75, 139, 106, 108, 98
76, 140, 107, 109, 5
77, 141, 108, 110, 115
78, 142, 109, 111, 447
79, 143, 110, 112, 889
80, 144, 111, 113, 900
81, 145, 112, 114, 287
82, 146, 113, 115, 430
83, 147, 114, 116, 541
84, 148, 115, 117, 628
85, 149, 116, 118, 309
86, 150, 117, 119, 56
87, 151, 118, 120, 283
88, 152, 119, 121, 54
89, 153, 120, 122, 702
90, 154, 121, 123, 886
91, 155, 122, 124, 993
92, 156, 123, 125, 967
93, 157, 124, 126, 509
94, 158, 125, 127, 159
95, 159, 126, 363
96, 160, 129, 475
97, 161, 128, 130, 950
98, 162, 129, 131, 406
99, 163, 130, 132, 957
100, 164, 131, 133, 701
101, 165, 132, 134, 955
102, 166, 133, 135, 181
103, 167, 134, 136, 456
104, 168, 135, 137, 584
105, 169, 136, 138, 823
106, 170, 137, 139, 47
107, 171, 138, 140, 968
108, 172, 139, 141, 375
109, 173, 140, 142, 682
110, 174, 141, 143, 1020
