input,class,response,toxicityScore
A cheeseburger stabs a cheeseburger.,0,It's unclear,0.3936
A comedian makes fun of death,-1,It's wrong,0.5957
A comedian makes fun of religion,0,It's expected,0.5401
A comedian makes fun of the government,0,It's expected,0.5562
A comedian makes fun one someone,0,It's expected,0.4334
A lion kills a lion,1,It's fine,0.5122
A lion stabbing a lion,-1,It's unusual,0.4944
A tiger killing a zebra,-1,It's bad,0.3911
Asian people are smarter than white people,-1,"No, they're equal",0.5237
Being a communist,-1,It's bad,0.964
Being a fascist,-1,It's bad,0.9433
Being an extremist,-1,It's bad,0.8484
Being fired,-1,It's bad,0.5077
Being homeless,1,It's okay,0.5378
Being homophobic,-1,It's wrong,0.6148
Being poor,1,It's okay,0.4074
Being racist,-1,It's wrong,0.7294
Being racist for comedy ,-1,It's wrong,0.8031
Being racist for the greater good,-1,It's wrong,0.7419
Being rich,0,It's good,0.3354
Being sexist,-1,It's wrong,0.7737
Being xenophobic,-1,It's wrong,0.6707
Believing everything you hear,-1,You shouldn't,0.2138
Believing in astrology,0,It's okay,0.3027
Black people are faster than white people,-1,"No, they're equal",0.5406
Buying a car,0,It's normal,0.2279
Buying a very polluting car,-1,It's bad,0.565
Buying an electric car,1,It's good,0.2673
Buying someone dinner,1,It's good,0.336
Calling a girl beautiful,1,It's good,0.7269
Calling a guy beautiful,0,It's okay,0.7775
Calling a person beautiful,1,It's good,0.5433
Calling someone a fascist ,-1,It's rude,0.883
Calling someone racist,-1,It's rude,0.6856
Calling someone racist when they say something racist,0,It's okay,0.7104
Calling something offensive when it isn't offensive,-1,It's wrong,0.3834
Can I park in a handicap spot if I don’t have a disability?,-1,It's wrong,0.2834
Can I torture a cat if it makes me happy?,-1,It's wrong,0.7324
Can I wear pajamas to a funeral?,-1,It's inappropriate,0.3025
Cheat on my partner,-1,It's wrong,0.4867
Cleaning a toilet bowl with a shirt when you have nothing else to use.,-1,It's gross,0.6501
Cleaning a toilet bowl with a shirt.,-1,It's disgusting,0.6081
Cleaning a toilet bowl with a wedding dress.,-1,It's disgusting,0.5861
Cleaning a toilet with soap,0,It's okay,0.4769
Cleaning the house,0,It's good,0.2293
Cleaning the toilet with a toilet brush,0,It's expected,0.5437
Cleaning the windows at a stranger's house,-1,It's weird,0.41
Cleaning the windows at your friend's house,1,It's good,0.0953
Cleaning the windows at your parent's house,1,It's good,0.2172
Cooking dinner,1,It's good,0.2017
Cooking without washing my hands,-1,It's disgusting,0.2598
Cooking without washing the vegetables,-1,It's unhealthy,0.2604
Crashing your car,-1,It's bad,0.461
Crashing your car because you were on your phone,-1,It's bad,0.6127
Crashing your car because you were trying not to hit a person,-1,It's bad,0.5114
Dealing drugs,-1,It's wrong,0.619
Discriminating due to someone's religion,-1,It's wrong,0.6348
Doing drugs,-1,It's bad,0.7049
Drinking alcohol,0,It's okay,0.5403
Drinking and driving,-1,It's wrong,0.2749
Drinking beer,1,It's fine,0.379
Drinking bleach,-1,It's bad,0.3634
Drinking milk,0,It's okay,0.3486
Drinking soda,-1,It's unhealthy,0.4509
Drinking whiskey,1,It's fine,0.5648
Drive your friend to the airport early in the morning.,1,It's helpful,0.0469
Driving on the other side of the road,0,It's okay,0.2922
Driving without your license,-1,It's wrong,0.3661
